682
0	365
1	367
2	367
3	366
4	366
5	365
6	366
7	364
8	364
9	361
10	361
11	361
12	361
13	361
14	359
15	359
16	358
17	360
18	358
19	358
20	358
21	357
22	357
23	358
24	357
25	357
26	356
27	357
28	357
29	355
30	355
31	354
32	354
33	353
34	354
35	355
36	354
37	323
38	325
39	325
40	326
41	328
42	327
43	331
44	338
45	338
46	321
47	324
48	325
49	319
50	315
51	314
52	312
53	312
54	310
55	313
56	313
57	313
58	312
59	312
60	310
61	310
62	311
63	312
64	310
65	312
66	308
67	309
68	308
69	309
70	309
71	311
72	308
73	307
74	307
75	306
76	306
77	305
78	307
79	307
80	304
81	307
82	305
83	302
84	301
85	302
86	305
87	304
88	303
89	305
90	309
91	320
92	297
93	307
94	319
95	321
96	324
97	292
98	295
99	300
100	300
101	304
102	336
103	342
104	334
105	311
106	317
107	317
108	322
109	318
110	319
111	318
112	321
113	320
114	322
115	319
116	322
117	320
118	321
119	319
120	319
121	321
122	325
123	324
124	325
125	327
126	329
127	323
128	324
129	325
130	325
131	323
132	326
133	328
134	323
135	326
136	322
137	323
138	323
139	322
140	322
141	327
142	327
143	328
144	328
145	319
146	319
147	315
148	315
149	321
150	321
151	320
152	320
153	322
154	322
155	328
156	328
157	327
158	327
159	320
160	320
161	320
162	320
163	323
164	323
165	324
166	324
167	322
168	322
169	325
170	325
171	324
172	324
173	318
174	318
175	318
176	318
177	324
178	324
179	321
180	321
181	320
182	320
183	323
184	323
185	325
186	325
187	316
188	316
189	322
190	316
191	316
192	325
193	322
194	319
195	325
196	321
197	319
198	324
199	321
200	324
201	318
202	318
203	320
204	320
205	324
206	324
207	323
208	323
209	321
210	321
211	322
212	322
213	325
214	325
215	321
216	321
217	318
218	318
219	321
220	321
221	326
222	326
223	325
224	325
225	320
226	320
227	324
228	324
229	322
230	322
231	324
232	324
233	322
234	322
235	327
236	327
237	328
238	328
239	322
240	322
241	323
242	323
243	324
244	324
245	326
246	326
247	319
248	319
249	330
250	330
251	331
252	331
253	324
254	324
255	329
256	329
257	327
258	327
259	327
260	327
261	328
262	328
263	331
264	331
265	331
266	331
267	325
268	325
269	327
270	327
271	327
272	327
273	328
274	328
275	324
276	324
277	329
278	329
279	326
280	326
281	324
282	324
283	326
284	329
285	329
286	327
287	328
288	332
289	326
290	324
291	329
292	328
293	323
294	327
295	331
296	314
297	315
298	311
299	309
300	309
301	308
302	313
303	318
304	311
305	307
306	316
307	315
308	319
309	315
310	319
311	316
312	311
313	315
314	317
315	316
316	313
317	316
318	316
319	311
320	310
321	317
322	317
323	312
324	313
325	318
326	311
327	308
328	310
329	312
330	312
331	308
332	308
333	314
334	314
335	316
336	316
337	310
338	310
339	315
340	315
341	316
342	315
343	312
344	314
345	317
346	309
347	312
348	314
349	310
350	310
351	313
352	313
353	308
354	313
355	311
356	312
357	310
358	315
359	313
360	308
361	311
362	311
363	314
364	311
365	317
366	318
367	309
368	313
369	317
370	317
371	316
372	319
373	318
374	312
375	317
376	321
377	316
378	314
379	319
380	318
381	312
382	320
383	323
384	321
385	313
386	312
387	313
388	313
389	317
390	316
391	318
392	318
393	319
394	321
395	315
396	322
397	322
398	319
399	312
400	311
401	315
402	313
403	310
404	313
405	315
406	312
407	319
408	321
409	317
410	314
411	310
412	317
413	314
414	311
415	310
416	312
417	312
418	313
419	319
420	318
421	314
422	311
423	314
424	313
425	311
426	316
427	319
428	316
429	312
430	310
431	314
432	311
433	309
434	318
435	319
436	314
437	312
438	313
439	314
440	311
441	317
442	319
443	312
444	312
445	317
446	313
447	309
448	308
449	310
450	310
451	315
452	317
453	318
454	315
455	316
456	315
457	313
458	309
459	308
460	312
461	311
462	308
463	313
464	315
465	317
466	319
467	317
468	313
469	315
470	322
471	318
472	311
473	314
474	314
475	314
476	320
477	321
478	320
479	313
480	315
481	315
482	315
483	322
484	322
485	322
486	317
487	319
488	319
489	319
490	322
491	326
492	322
493	318
494	318
495	324
496	319
497	317
498	316
499	320
500	318
501	323
502	327
503	322
504	319
505	316
506	321
507	320
508	325
509	327
510	328
511	321
512	322
513	322
514	323
515	325
516	328
517	329
518	322
519	322
520	328
521	326
522	325
523	329
524	327
525	321
526	328
527	330
528	325
529	328
530	323
531	324
532	321
533	322
534	319
535	323
536	325
537	322
538	325
539	329
540	330
541	322
542	319
543	326
544	325
545	321
546	327
547	328
548	322
549	327
550	326
551	326
552	323
553	327
554	328
555	327
556	322
557	318
558	324
559	325
560	324
561	323
562	327
563	321
564	325
565	328
566	327
567	321
568	324
569	325
570	320
571	318
572	325
573	321
574	317
575	313
576	312
577	319
578	320
579	321
580	322
581	324
582	321
583	326
584	322
585	321
586	322
587	323
588	325
589	319
590	322
591	323
592	320
593	318
594	325
595	326
596	320
597	321
598	321
599	323
600	320
601	326
602	323
603	319
604	318
605	324
606	322
607	321
608	326
609	327
610	319
611	320
612	326
613	325
614	317
615	318
616	322
617	325
618	327
619	330
620	331
621	324
622	327
623	325
624	327
625	326
626	331
627	330
628	322
629	321
630	326
631	330
632	323
633	327
634	330
635	328
636	323
637	331
638	331
639	325
640	330
641	330
642	294
643	296
644	299
645	299
646	299
647	300
648	305
649	303
650	308
651	309
652	307
653	303
654	309
655	304
656	300
657	303
658	299
659	287
660	280
661	277
662	285
663	285
664	289
665	292
666	290
667	277
668	281
669	267
670	256
671	261
672	256
673	285
674	281
675	288
676	281
677	282
678	290
679	292
680	290
681	292
682	296
